0,1,2,3
5.8937035,2.8774562,5.36383,1.6320133
5.488304,2.6064687,4.20605,1.2477473
6.0788436,2.8213174,5.6790557,1.6163461
5.547008,2.6228788,4.397995,1.2745336
5.511443,2.6692796,4.176014,1.2449887
5.8607388,2.8044453,5.295648,1.6094418
5.6797123,2.6593776,4.7080584,1.429737
5.546734,2.6983926,4.288986,1.2798802
5.7889066,2.7136297,4.9180675,1.4998771
5.55007,2.7481008,4.59811,1.29388
5.744069,2.691173,4.6449194,1.3938625
5.788452,2.7815814,4.7391324,1.4548708
5.5680666,2.675606,4.301954,1.2985796
5.507093,2.6028373,4.361399,1.3219072
5.664043,2.7462077,4.774108,1.4253844
5.653939,2.7709975,4.8025103,1.4439259
5.675197,2.6984866,4.9394794,1.4348793
5.5559764,2.6354854,4.341752,1.2571461
5.8974724,2.7586982,5.2652254,1.6821098
5.8420343,2.758409,5.1958785,1.6726222
5.462628,2.7085676,4.1896987,1.2086998
5.294872,2.505898,3.9427981,1.1230187
5.852327,2.7482395,5.209265,1.568995
5.607303,2.6020494,4.943403,1.437289
5.5453315,2.6751199,4.5580444,1.3041023
5.43163,2.6011105,4.0427575,1.1682085
5.4759016,2.624777,4.185468,1.218318
5.683771,2.7466712,4.9822354,1.4248474
5.504198,2.6158016,4.5666814,1.2944175
5.7039475,2.7681684,4.749067,1.4829628
5.600788,2.5906577,4.6197047,1.3525007
5.799603,2.7664347,4.934028,1.470458
5.7510166,2.7422304,4.8988953,1.4579675
5.7713113,2.68311,4.76907,1.4453088
5.8285203,2.774776,4.949005,1.4826136
5.7586374,2.7423148,4.873054,1.3976333
5.7868533,2.7594764,4.833196,1.4495156
5.4726524,2.5607562,4.2897067,1.2344834
5.575168,2.7400846,4.5497513,1.2292261
5.520981,2.7064214,4.486073,1.291312
5.571953,2.6239338,4.5807652,1.2801967
5.5870094,2.6782553,4.5491486,1.3188744
5.5394554,2.7078,4.480073,1.2542269
5.5101094,2.6029398,4.388671,1.2721379
5.868286,2.8321464,4.9288254,1.5069637
5.585606,2.611286,4.4252615,1.2423587
5.5756,2.621159,4.442641,1.2541807
5.444203,2.561153,4.224181,1.2073042
5.7292576,2.7718992,4.6461167,1.3772385
5.397522,2.607448,4.1515903,1.1925219
5.380063,2.5770948,3.9567604,1.188921
5.6690946,2.7284472,4.68777,1.3996437
6.18155,2.9407458,5.723951,1.754339
5.551212,2.610921,4.369478,1.2861214
5.6657386,2.737894,4.4525523,1.3720808
5.8705597,2.7514415,4.950348,1.5165823
5.390023,2.5930367,4.0603123,1.1950653
